y_true,y_pred
0.0,1.1756582e-07
0.0,3.0337917e-06
0.0,1.9319554e-08
0.0,0.00085701665
0.0,3.4209028e-22
0.0,0.00067935145
0.0,8.139547e-09
0.0,0.005452214
0.0,4.0334285e-06
0.0,2.2696094e-07
0.0,4.1695308e-05
0.0,1.4548432e-07
0.0,3.9409504e-15
0.0,9.53058e-05
0.0,3.5433543e-06
0.0,1.2997195e-05
0.0,0.000442027
0.0,1.634313e-15
0.0,1.8773257e-05
0.0,4.6789033e-08
0.0,1.1052628e-06
0.0,0.00046966478
0.0,0.00024062407
0.0,8.544208e-08
0.0,1.3339094e-07
0.0,6.152649e-07
0.0,4.534773e-06
0.0,5.100046e-07
0.0,2.3054807e-05
0.0,4.9409855e-11
0.0,8.51827e-09
0.0,4.4929743e-06
0.0,0.0003357706
0.0,8.555267e-12
0.0,0.018748177
0.0,0.049643703
0.0,1.7492352e-09
0.0,0.0001605282
0.0,0.000275543
0.0,0.00014457645
0.0,0.001676099
0.0,2.5533288e-06
1.0,9.735817e-06
0.0,1.1808504e-05
0.0,0.24507043
0.0,1.3399445e-17
0.0,1.7632962e-10
0.0,1.1335054e-05
0.0,1.336345e-06
0.0,5.8517713e-08
0.0,8.1484564e-10
0.0,1.9798733e-06
0.0,0.0006163315
0.0,2.0837415e-06
0.0,9.8802484e-05
0.0,0.00014902069
0.0,0.0009173812
0.0,6.453519e-08
0.0,1.712533e-06
0.0,8.46973e-06
0.0,9.8016806e-17
0.0,3.7199573e-13
0.0,0.00029052928
0.0,3.1397406e-08
0.0,5.209243e-07
0.0,0.0068603405
0.0,0.0021059879
1.0,8.983359e-07
0.0,1.6684744e-15
0.0,3.4181035e-08
1.0,0.18832672
0.0,6.3338757e-06
0.0,7.474163e-07
1.0,0.19257474
1.0,0.9882028
0.0,0.0004233148
0.0,0.00022994983
0.0,0.00036562505
0.0,0.0021669972
0.0,0.9472703
0.0,4.542075e-06
0.0,5.836455e-06
0.0,7.5553163e-07
0.0,4.0105755e-16
0.0,0.036844667
0.0,0.00022958685
0.0,4.176702e-05
0.0,8.110634e-11
0.0,0.00015932047
0.0,2.9513854e-05
0.0,0.27616912
0.0,0.00019850304
0.0,0.4164692
0.0,0.34200788
0.0,0.07068465
0.0,5.446974e-16
1.0,3.6711064e-08
0.0,1.2561688e-10
0.0,1.1873862e-12
0.0,1.6259778e-18
0.0,4.468267e-07
0.0,1.0769816e-06
0.0,2.0916518e-07
0.0,7.048095e-05
0.0,3.3655804e-06
0.0,1.1994778e-05
0.0,0.00017974153
0.0,9.669027e-09
0.0,1.2063081e-08
0.0,2.3314362e-06
0.0,3.253824e-06
0.0,7.992283e-05
0.0,5.209091e-16
0.0,4.653142e-05
0.0,0.02146846
0.0,2.3115147e-07
0.0,4.824036e-06
0.0,2.0324594e-06
0.0,0.009547068
0.0,1.9985084e-05
0.0,2.8892067e-05
1.0,5.305516e-06
0.0,4.550698e-24
0.0,2.239761e-09
0.0,0.016262136
0.0,0.0016728278
0.0,2.0225012e-10
0.0,8.3655745e-05
